,Lear 45XR,VNY Challenger 300,Challenger 300,Challenger 350,Challenger 604,Challenger 605,G450,GIVSP,G650ER,Falcon 2000,Hawker 800XP,Citation XLS +,Phenom 300,Falcon 900LX,Challenger 850,G150,G550,Global 5000,CJ1,CJ3,CJ4,Premier Y1 (2 Pilots),Premier Y1 (3 Pilots),Premier Y2 (2 Pilots),Premier Y2 (3 Pilots),Single Owner Challenger 300 (75h),Dual Owner Challenger 300 (75h),Citation Sovereign+,Global 5000,Daxair,CJ3 Lease,Citation XLS +,Floating Challenger 300,Floating Citation XLS,Floating Lear 45XR,Citation X+,Phenom 300E,Lear 75,Lear 60XR
PIC Salary,"$150,000","$288,000","$240,000","$240,000","$400,000","$625,000","$590,000","$275,000","$800,000","$550,000","$350,000","$150,000","$160,000","$517,000","$750,000","$300,000","$900,000","$900,000","$225,000","$150,000","$150,000","$200,000","$250,000","$300,000","$370,000","$525,000","$525,000","$525,000","$900,000","$370,000","$450,000","$375,000","$170,000","$560,000","$550,000","$170,000","$150,000","$150,000","$150,000"
SIC Salary,"$75,000","$180,000","$150,000","$150,000","$75,000","$75,000","$75,000","$175,000","$75,000","$75,000","$75,000","$80,000","$80,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$75,000","$110,000","$75,000","$75,000","$100,000","$90,000","$90,000","$90,000"
Crew Training (Individual Pilot),"$20,000","$31,333","$31,333","$36,000","$68,000","$75,000","$86,000","$30,000","$200,000","$56,365","$57,000","$15,000","$20,000","$77,300","$50,000","$65,000","$115,000","$100,000","$35,000","$20,000","$20,000","$20,000","$82,000","$30,000","$45,000","$85,000","$85,000","$75,000","$100,000","$50,000","$50,000","$58,000","$15,000","$58,000","$70,000","$20,000","$20,000","$20,000","$20,000"
In-flight Wi-Fi,"$47,000","$50,000","$50,000","$48,000","$48,000","$50,000","$48,000","$132,000","$132,000","$48,000","$48,000","$48,000","$47,000","$48,000","$48,000","$48,000","$132,000","$48,000",$0,"$48,000","$52,000",$0,$0,$0,$0,"$48,000","$48,000","$48,000","$48,000","$48,000","$48,000","$48,000","$50,000","$48,000","$47,000","$48,000","$47,000","$47,000","$47,000"
Insurance - Hull & Liability,"$33,000","$51,000","$51,000","$52,800","$55,000","$51,000","$60,000","$43,000","$102,015","$32,227","$32,300","$47,304","$45,554","$77,316","$55,000","$32,702","$80,000","$75,000","$20,000","$38,000","$50,000","$20,000","$20,000","$20,000","$20,000","$51,000","$51,000","$45,000","$75,000","$38,000","$38,000","$47,304","$51,000","$47,304","$33,000","$45,000","$45,554","$33,000","$33,000"
Subscriptions,"$20,000","$25,000","$25,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$10,000","$10,000","$10,000","$10,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000","$20,000"
Aircraft Registration,"$20,000","$55,000","$55,000","$70,000","$32,500","$60,000","$125,000","$20,000","$275,000","$28,250","$23,500","$35,000","$45,000",$0,"$35,000","$30,000","$112,500","$70,000","$7,500","$25,000","$57,000","$10,000","$10,000","$10,000","$10,000","$55,000","$55,000","$45,000","$70,000","$25,000","$25,000",$0,"$60,000","$45,000","$20,000","$45,000","$45,000","$35,000","$10,000"
Aircraft Cleaning,"$5,000","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$7,500","$10,000","$7,500","$5,000","$5,000","$5,000","$7,500","$10,000","$5,000","$10,000","$10,000","$4,000","$5,000","$5,000","$5,000","$5,000","$5,000","$5,000","$7,500","$7,500","$7,500","$10,000","$5,000","$5,000","$5,000","$7,500","$5,000","$5,000","$7,500","$5,000","$5,000","$5,000"
Supplies,"$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500","$4,500"
Airport Fee,"$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,000","$3,674","$3,674","$3,000","$3,000","$3,000","$3,000","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674","$3,674"
Maintenance Reserve Budget Estimate,,"$100,000","$100,000","$200,000",,,,,,,,,"$100,000",,,,,,,,,,,,,,,,,,,,"$200,000","$200,000","$200,000","$100,000","$100,000","$100,000","$100,000"
Maintenance Management Fee,"$60,000",$0,"$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$72,000","$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$40,000","$40,000","$60,000","$60,000","$60,000","$60,000","$60,000","$60,000","$30,000","$60,000","$60,000",,"$130,000","$80,000","$60,000","$60,000","$60,000","$60,000"
Aircraft Management Fee ,"$108,000","$120,000","$120,000","$120,000","$120,000","$114,000","$120,000","$120,000","$120,000","$120,000","$120,000","$120,000","$108,000","$144,000","$120,000","$120,000","$120,000","$120,000.00","$120,000","$120,000","$102,000","$40,000","$40,000","$60,000","$60,000","$120,000","$108,000","$108,000","$120,000.00","$30,000",$0,"$120,000",,,,"$108,000","$108,000","$108,000","$108,000"
Fuel Burn Per Hour ,225,300,300,300,387,360,520,550,550,277,290,230,185,293,334,228,430,488,140,150,180,160,160,160,160,300,300,280,488,150,150,230,300,230,225,280,190,210,225
Parts Programs,$175,$495,$495,$300,$400,$800,$585,$900,$690,$362,$450,$408,$0,$500,$300,$580,$700,$780,$280,$285,$285,$332,$332,$332,$332,$495,$495,$464,$780,$285,$285,$408,$495,$408,$175,$464,$227,$495,$520
Engine Programs,$821,"$1,150","$1,150","$1,150",$900,$750,$610,"$1,020","$1,500",$795,$800,$700,$768,"$1,000",$670,$700,"$1,250","$1,000",$320,$400,$387,$350,$350,$350,$350,"$1,150","$1,150",$821,"$1,000",$400,$400,$700,"$1,150",$700,$821,$821,$640,$824,$900
APU Programs,$78,$75,$75,$111,$100,$170,$145,$120,$153,$111,$85,$65,$0,$200,$85,$100,$200,$150,$0,$0,$0,$0,$0,$0,$0,$75,$75,$75,$150,$0,$0,$65,$75,$65,$78,$75,$0,$100,$110
